host_value	taxon_name	taxon_rank	class_name	class_tax_id	genus_id	genus_name	accession	host
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001584355.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_022346385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_022346365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001810665.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001815905.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_030230605.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001806795.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001807555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_025144725.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCF_001806835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCA_030223925.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	1696	Brevibacterium	GCA_030227465.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_015209585.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_049266655.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025151965.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025146185.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025152195.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025148185.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025144205.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025151835.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_046765075.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_027658965.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025144125.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025147865.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_002871795.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_039753375.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_023062615.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_022346485.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025143785.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_025144775.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCF_001807385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	43668	Brachybacterium	GCA_030826555.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_019056515.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_001553805.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_041433375.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025151145.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027659085.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027659225.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027659355.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_017965805.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_001644225.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_019308305.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025150925.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_001584605.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_022347035.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023148915.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023149035.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023148825.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023147895.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023147465.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023147885.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023148015.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023147435.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027678825.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689235.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027678385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689295.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027680025.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027680005.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027680085.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689335.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027678245.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027680105.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027678425.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689375.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_023147315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027689435.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_027678365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_002871415.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025143875.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_003989315.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_022346945.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025143365.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025143345.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_025143385.1	Homo sapiens
homo sapiens	Homo sapiens	species	Mammalia	40674	33882	Microbacterium	GCF_003314775.1	Homo sapiens
